ipnr17,v65,v66,v67,v68,v69,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232
FU489319,Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Meget stor tillid,Ret stor tillid,Slet ingen tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Hverken godt eller dårligt,7.,2.,2.,7.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Sjældent,Sjældent,I nogen grad,Til en vis grad,I mindre grad,I mindre grad,I mindre grad,Til en vis grad,I mindre grad,I mindre grad,Til en vis grad,Slet ikke vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt
CZ218266,Ja,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Temmelig dårligt,8.,2.,2.,8.,Ikke særlig vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Meget vigtigt,7.,Flere gange om ugen,Aldrig,Aldrig,Til en vis grad,Til en vis grad,I høj grad,I nogen grad,I nogen grad,I høj grad,I nogen grad,I nogen grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt
FU341483,Ja,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,10. Indvandrere tager ikke jobs fra danskere,4.,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt,10. Udvidelsen er gået for vidt,Hver dag,Hver dag,Hver dag,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt
CZ442236,Ja,Ja,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,7.,4.,5.,6.,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,5.,Sjældent,Sjældent,Sjældent,I nogen grad,Til en vis grad,I mindre grad,I mindre grad,I mindre grad,I nogen grad,Til en vis grad,Til en vis grad,I mindre grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt
FU738103,Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget godt,9.,8.,8.,3.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Temmelig vigtigt,2.,Hver dag,Flere gange om ugen,Aldrig,Til en vis grad,Til en vis grad,I høj grad,I høj grad,I høj grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt
CZ885717,Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig godt,5.,9.,6.,5.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,6.,Hver dag,Sjældent,Sjældent,Til en vis grad,I mindre grad,I mindre grad,I mindre grad,I mindre grad,I høj grad,Til en vis grad,Til en vis grad,Til en vis grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt
FU885526,Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,6.,2.,2.,7.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,8.,Flere gange om ugen,Flere gange om ugen,Flere gange om ugen,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,I nogen grad,Til en vis grad,Til en vis grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt
CZ714356,Nej,Nej,Nej,Nej,Nej,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget dårligt,3.,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,1. Samfundet er bedst tjent med at indvandrere fastholder deres egne skikke og t,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,5.,En eller to gange om ugen,Sjældent,En eller to gange om ugen,Slet ikke,Slet ikke,I mindre grad,I mindre grad,Til en vis grad,I høj grad,Til en vis grad,Slet ikke,I høj grad,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt
FU581691,Ja,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig godt,8.,8.,9.,5.,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,5.,En eller to gange om ugen,Hver dag,Hver dag,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt
FU374646,Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,4.,2.,2.,8.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,5.,Flere gange om ugen,Flere gange om ugen,Sjældent,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,Til en vis grad,I mindre grad,Til en vis grad,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt
